ticker,signal,confidence,prediction_value
SYTA,VENDER,1.4137421741788085,-0.20687108708940427
CVX,VENDER,1.1169352109812718,-0.0584676054906359
MSFT,VENDER,0.9999463837035881,2.68081482059368e-05
AMZN,VENDER,0.867451803213641,0.06627409839317949
XOM,VENDER,0.8254186460642421,0.08729067696787893
KO,VENDER,0.8083240699946848,0.09583796500265765
JPM,VENDER,0.6995309153761585,0.15023454231192074
MLGO,VENDER,0.6313228692244978,0.18433856538775112
GS,VENDER,0.6125945175767871,0.19370274121160647
AAPL,VENDER,0.5820459864762113,0.20897700676189435
JNJ,VENDER,0.57812330379112,0.21093834810443998
SOFI,COMPRAR,0.5755991059445678,0.7877995529722839
PG,VENDER,0.4962665830154007,0.25186670849229964
WMT,COMPRAR,0.4935523179117307,0.7467761589558654
BAC,VENDER,0.43580282011371896,0.2820985899431405
UNH,VENDER,0.4352381587656411,0.28238092061717945
ASML,VENDER,0.42111741713801665,0.2894412914309917
GLNG,VENDER,0.3695917556877111,0.31520412215614446
DOCU,VENDER,0.31259350082035675,0.3437032495898216
PFE,VENDER,0.294300734564225,0.3528496327178875
GOOGL,VENDER,0.28623770065992005,0.35688114967004
HIMS,VENDER,0.16848794746656737,0.4157560262667163
META,VENDER,0.127904662232329,0.4360476688838355
